"Word","Age_Of_Acquisition","LgSUBTLCD","NPhon"
"dustpan","6.47","1.0409999999999999",6
"eagle","5.83","2.4470000000000001",3
"ear","3.63","3.044",2
"earring","7.17","1.982",5
"earrings","7.17","2.2949999999999999",6
"egg","3.89","2.8610000000000002",2
"eggplant","8.3","1.623",7
"elbow","4.78","2.3980000000000001",4
"elephant","4.8","2.4980000000000002",7
"envelope","6.25","2.5139999999999998",7
"eraser","4.95","1.462",5
"escalator","7.11","1.69",8
"eye","3.75","3.5070000000000001",1
"fan","5.63","3.0409999999999999",3
"feather","4.67","2.3650000000000002",4
"fence","6.28","2.7429999999999999",4
"fig","8.06","1.663",3
"finger","3.43","3.11",5
"fingerprint","7.56","2.0449999999999999",10
"fireplace","7.37","2.2789999999999999",7
"fish","4.05","3.2330000000000001",3
"flag","5.33","2.6970000000000001",4
"flamingo","6.32","1.6020000000000001",8
"flashlight","5.61","2.3239999999999998",7
"floor","4.44","3.4369999999999998",4
"fly","3.05","3.3260000000000001",3
"flyswatter","5.79","0.47699999999999998",8
"folder","8.21","1.792",5
"fondue","10.78","1.431",5
"football","4.84","2.907",6
"fork","3.63","2.5009999999999999",4
"fountain","7.17","2.3769999999999998",5
"fox","5.017","2.613",4
"fridge","4.67","2.5939999999999999",4
"frisbee","5.5","1.7709999999999999",6
"fritter","13","1.1759999999999999",5
"funnel","8.44","1.6719999999999999",4
"garlic","6.89","2.286",6
"gate","5.32","2.956",3
"gazebo","9.76","1.4770000000000001",6
"ginger","8.05","2.31",5
"glasses","4.346","3.004",6
"globe","6.5","2.3199999999999998",4
"gorilla","5.74","2.1960000000000002",6
"grapes","3.94","2.1139999999999999",5
"grasshopper","5.78","1.5680000000000001",8
"grenade","9.72","2.19",6
"grill","6.53","2.2599999999999998",4
"guitar","5.32","2.5339999999999998",5
"gun","5.58","3.4740000000000002",3
"hammer","5.42","2.5979999999999999",4
"hammock","7.11","1.623",5
"hand","2.74","3.7450000000000001",4
"handcuffs","6.28","2.34",8
"hanger","6.78","1.74",4
"harmonica","7.32","1.653",9
"harp","7.55","1.9139999999999999",4
"hat","3.33","3.238",3
"headphones","7.74","1.806",7
"helicopter","5.26","2.6539999999999999",9
"helmet","5.71","2.4830000000000001",6
"hen","6.39","2.0329999999999999",3
"hinge","7.95","1.4470000000000001",4
"hippopotamus","7","1.2789999999999999",11
"hoe","8.72","1.462",2
"horse","4.15","3.198",4
"horseshoe","5.85","1.613",6
"house","3.16","3.7810000000000001",3
"hummingbird","6.95","1.38",8
"iceberg","8.21","1.909",5
"icecube",NA,"#",6
"icepack","6.89","#",5
"igloo","5.42","1.1759999999999999",4
"iron","7.32","2.7949999999999999",3
"island","7.41","2.8359999999999999",5
"jacket","3.95","2.988",5
"jar","5.44","2.4740000000000002",3
"jeans","5.26","2.387",4
"jeep","6.32","2.38",3
"jellyfish","6.61","1.613",7
"kangaroo","5.55","1.778",7
"key","3.58","3.3359999999999999",2
"keyboard","9.32","1.8260000000000001",6
"keys","3.58","3.1549999999999998",3
"kite","4.58","1.887",3
"kiwi","7.56","1.38",4
"knee","4.42","2.7280000000000002",2
"knife","4.15","3.0990000000000002",3
"ladder","4.399","2.4969999999999999",4
"ladle","9.83","1.4470000000000001",4
"ladybird","10.53","0.84499999999999997",7
"ladybug","4.84","1.1459999999999999",7
"lamp","4","2.5859999999999999",4
"leaf","4.6","2.3380000000000001",3
"lettuce","4.28","2.093",5
"level","6","3.202",4
"lightbulb","5.89","#",7
"lighter","7.117","2.5529999999999999",4
"lighthouse","6.11","1.819",6
"lime","6.61","2.093",3
"lion","4.42","2.5169999999999999",4
"lips","3.79","3.0249999999999999",4
"lipstick","5.42","2.5209999999999999",7
"lizard","5.42","2.0640000000000001",5
"llama","8.61","1.4470000000000001",4
"lobster","7.44","2.3050000000000002",6
"lock","5.74","3.2709999999999999",3
"locker","8.22","2.6920000000000002",4
"lollipop","3.89","1.792",7
"ludo",NA,"0.47699999999999998",4
"lynx","10.53","0.30099999999999999",5
"magnet","6.1","1.978",6
"marble","7.05","2.19",5
"marker","4.89","2.2069999999999999",5
"mask","4.8","2.6819999999999999",4
"match","5.72","3.1930000000000001",3
"mattress","5.1","2.3639999999999999",6
"medal","6.83","2.4729999999999999",4
"microphone","6.25","2.2330000000000001",8
"microscope","9.16","2.0169999999999999",9
"microwave","7.67","2.2200000000000002",8
"mill","8.17","2.2829999999999999",3
"mirror","4.89","2.9409999999999998",3
"mixer","7.05","1.6990000000000001",5
"monkey","4.21","2.8940000000000001",5
"moon","4.83","3.0670000000000002",3
"moose","5.22","2.1040000000000001",3
"mop","5.11","2.1819999999999999",3
"mosquito","6.1","1.881",7
"motorbike","7.95","1.544",7
"motorcycle","5.05","2.387",8
"mountain","6.15","2.9470000000000001",5
"mouse","4.94","2.6030000000000002",3
"mousetrap","6.78","1.4470000000000001",7
"mouth","3.58","3.48",3
"mummy","5.47","2.2229999999999999",4
"mushroom","6.44","1.9239999999999999",6
"mussel","10","0.95399999999999996",4
"nail","5.42","2.8519999999999999",3
"necklace","5","2.4470000000000001",6
"needle","5.32","2.6360000000000001",4
"nose","2.95","3.3279999999999998",3
"nut","5.21","2.742",3
"nutcracker","7.24","1.5049999999999999",8
"olive","6.68","2.2650000000000001",4
"orange","3.26","2.8359999999999999",5
"ostrich","6.42","1.532",6
"owl","6.21","2.14",2
"paint","4.45","3.0110000000000001",4
"paintbrush","6.22","1.23",8
"painting","5.26","2.806",6
"pan","4.72","2.5649999999999999",3
"panda","5.67","1.58",5
"pants","3.227","3.2480000000000002",5
"paper","4","3.42",4
"parachute","7","2.0830000000000002",7
"parrot","5.58","1.982",5
"pasty","11.17","1.4770000000000001",5
"peach","4.21","2.3279999999999998",3
"peacock","5.763","1.7629999999999999",5
"peanut","5","2.56",5
"pear","4","1.653",3
"peas","3.95","2.2149999999999999",3
"pelican","8.22","1.591",7
"pen","5.11","2.9119999999999999",3
"pencil","4.06","2.593",5
"pendant","10.3","1.462",7
"penguin","5.68","1.7849999999999999",7
"pepper","5.47","2.4279999999999999",4
"piano","5.5","2.7770000000000001",5
"pie","3.67","2.8980000000000001",2
"pig","3.84","3.024",3
"pigeon","6.21","2.2599999999999998",5
"piggybank","5.508","#",8
"pill","6.06","2.589",3
"pillow","3.47","2.657",4
"pincers",NA,"0.84499999999999997",6
"pineapple","6.25","1.8979999999999999",6
"pipe","8.17","2.8090000000000002",3
"pistachio","8.74","1.38",8
"pitcher","6.42","2.0329999999999999",4
"pitchfork","6.89","1.462",7
"pizza","4.67","2.9249999999999998",5
"plant","3.95","2.92",5
"plate","3.84","2.9670000000000001",4
"platypus","7.71","0.60199999999999998",8
"pliers","7","1.6990000000000001",5
"plum","5.5","2.0529999999999999",4
"plunger","9.63","1.613",6
"policeman","4.44","2.5880000000000001",8
"pomegranate","11.17","1",10
"pool","5.15","3.0790000000000002",3
"popcorn","4.17","2.4910000000000001",7
"poppy","10.367","1.792",4
"porcupine","6.89","1.3620000000000001",9
"pot","5.95","2.883",3
"potato","4.84","2.5870000000000002",6
"priest","7.1","2.7189999999999999",5
"printer","7.61","1.869",6
"pumpkin","4.78","2.4409999999999998",7
"purse","5.53","2.8279999999999998",3
"puzzle","5.11","2.3959999999999999",4
"pyramid","7.61","2",7
"rabbit","3.94","2.6509999999999998",5
"raccoon","6.79","1.708",5
"radio","5.17","3.2109999999999999",5
"radish","5.25","1.431",5
"raisin","5.05","1.792",4
"raisins",NA,"1.887",5
"rake","5.32","1.944",3
"raven","8.56","1.778",4
"razor","7.11","2.403",4
"refrigerator","4.11","2.4980000000000002",11
"rhino","5.89","1.613",4
"rhinoceros","6","1.4770000000000001",9
"ribbon","5.25","2.1960000000000002",5
"rice","3.72","2.6509999999999998",3
"ring","4.53","3.3170000000000002",3
"road","4.55","3.4420000000000002",3
"rocket","5.63","2.4609999999999999",5
"roof","5","3.06",3
"rooster","6.41","2.0129999999999999",5
"rope","5.44","2.8159999999999998",3
"rose","6.11","2.92",3
"rug","4.61","2.5499999999999998",3
"ruler","5.94","2.1429999999999998",4
"safe","5.11","3.5470000000000002",3
"sailboat","4.65","1.69",6
"salt","5.05","2.7879999999999998",4
"saltshaker","5.42","0.77800000000000002",8
"sandal","5.21","0.95399999999999996",5
"sandcastle","5.42","0.69899999999999995",9
"sausage","6.05","2.3559999999999999",5
"saw","5.359","3.8079999999999998",2
"saxophone","9.1","1.653",8
"scale","8.85","2.593",4
"scarf","5.68","2.2200000000000002",5
"scissors","4.5","2.3180000000000001",5
"scooter","6.68","1.8979999999999999",5
"scorpion","7.84","1.748",8
"screw","6.65","3.1269999999999998",4
"screwdriver","6","1.929",9
"sea","4.74","3.1320000000000001",2
"seagull","5.42","1.544",5
"seahorse","5.83","0.90300000000000002",6
"seal","5.42","2.6749999999999998",3
"seesaw","4.81","1.1759999999999999",4
"shanty","13.33","1.204",5
"shark","5.47","2.4129999999999998",4
"sheep","4.25","2.5939999999999999",3
"shield","6.5","2.41",4
"ship","5.33","3.0659999999999998",3
"shirt","3.53","3.1459999999999999",3
"shoe","2.6","2.9510000000000001",2
"shoelace","4.16","1.431",5
"shorts","3.95","2.5529999999999999",5
"shovel","6.28","2.403",4
"shower","4.72","3.1139999999999999",3
"showerhead","8.05","0.90300000000000002",6
"shrimp","7.11","2.3929999999999998",5
"sink","4.47","2.8109999999999999",4
"skate","5.37","2.093",4
"ski","6.68","2.3479999999999999",3
"skirt","5.67","2.5870000000000002",4
"skis","6.68","1.724",4
"skittle","7.07","0.30099999999999999",5
"skunk","5.32","2.0329999999999999",5
"skyscraper","8.26","1.532",9
"sled","4.89","1.7989999999999999",4
"slide","4.79","2.7559999999999998",4
"slingshot","6.53","1.663",7
"slipper","5.26","1.716",5
"snake","5.1","2.722",4
"snowman","3.47","1.724",6
"snowshoe","7.68","0.47699999999999998",5
"soap","3.17","2.7130000000000001",3
"sock","2.94","2.4809999999999999",3
"sofa","4.5","2.3559999999999999",4
"soldier","6.94","2.92",5
"spaghetti","4.33","2.29",7
"spatula","7.32","1.5049999999999999",7
"speaker","6.11","2.4260000000000002",5
"spear","7.22","2.0369999999999999",4
"spider","3.43","2.3650000000000002",5
"sponge","5","2.3580000000000001",5
"spoon","2.5","2.4329999999999998",4
"squid","7.32","1.881",5
"squirrel","4.44","2.2200000000000002",7
"stairs","4.22","2.9279999999999999",5
"stapler","5.83","1.4910000000000001",6
"staples","7.18","1.415",6
"starfish","5.76","1.3009999999999999",7
"statue","7.55","2.5019999999999998",5
"stocking","6.68","2.0329999999999999",6
"stove","4.32","2.452",4
"strainer","9.63","1.079",6
"straw","4.22","2.3929999999999998",4
"strawberry","4.21","2.2229999999999999",8
"stroller","7.84","1.4470000000000001",6
"submarine","7.94","2.149",8
"suitcase","8.22","2.5710000000000002",6
"sun","3.4","3.2919999999999998",3
"sunglasses","5.56","2.137",9
"surfboard",NA,"1.4770000000000001",7
"sushi","11.19","2.161",4
"swan","6.318","2.0329999999999999",4
"sweater","5.22","2.669",5
"swing","4.16","2.9329999999999998",4
"sword","5.45","2.6659999999999999",4
"swordfish","9.33","1.3979999999999999",7
"table","4.39","3.4609999999999999",4
"tambourine","6.53","1.518",8
"tampon","12.11","1.462",6
"tank","7.17","2.8290000000000002",4
"tape","4.42","3.1720000000000002",3
"teabag","6.67","0.47699999999999998",5
"teapot","6.22","1.556",5
"telescope","6.95","1.944",8
"tent","5.16","2.649",4
"thermometer","6.63","1.8979999999999999",8
"thermos","8.29","1.5680000000000001",5
"thimble","8.05","1.1140000000000001",5
"tie","4.74","3.17",2
"tiger","4","2.645",4
"tile","6.8","1.8979999999999999",3
"tire","6.16","2.5840000000000001",3
"toast","4.67","3.0430000000000001",4
"toaster","6.72","2.0750000000000002",5
"toe","3","2.5880000000000001",2
"toilet","3.54","2.98",5
"tongs","7.778","1.3979999999999999",4
"tongue","4.47","3.048",3
"toothpick","6.83","1.58",6
"toucan","8.69","0.60199999999999998",5
"tower","6.33","2.7330000000000001",3
"tractor","5.5","2.0289999999999999",6
"trailer","6.37","2.4649999999999999",5
"train","4","3.246",4
"trampoline","6.79","1.415",9
"treadmill","11.15","1.5680000000000001",7
"tree","3.57","3.21",3
"triangle","4.9","2.1",7
"tricycle","4.05","1.2549999999999999",7
"tripod","9.26","1.5049999999999999",6
"trophy","5.55","2.3540000000000001",5
"truck","3.79","3.1920000000000002",4
"trumpet","6.28","2",7
"tulip","7.149","1.431",5
"turnstile","13.67","1.079",7
"turtle","4.17","2.415",4
"tweezers","7.16","1.653",6
"undershirt","5.56","1.1759999999999999",7
"unicorn","4.83","1.58",8
"urinal","8.47","1.5680000000000001",6
"vacuum","6.74","2.3199999999999998",6
"van","5.199","2.9620000000000002",3
"vase","7.89","2.0859999999999999",3
"violin","7.45","2.09",6
"volcano","6.74","2.0369999999999999",7
"volleyball","7.05","1.708",7
"vulture","8.89","1.8129999999999999",5
"waffle","5.32","1.857",4
"waiter","8.28","2.6379999999999999",4
"wallet","5.89","2.839",5
"walnut","6.16","1.7709999999999999",6
"walrus","5.06","1.613",6
"wasp","5.58","1.643",4
"watch","4.33","3.77",3
"waterfall","5.47","1.833",7
"watermelon","4.22","1.839",9
"wave","4.26","2.8330000000000002",3
"well","6.158","3.911",3
"wheat","6.53","2.31",4
"wheel","4.4","2.93",4
"wheelbarrow","6.78","1.38",8
"wheelchair","6.89","2.3370000000000002",7
"whisk","8.72","1.4770000000000001",5
"window","4.74","3.3879999999999999",5
"wine","7.9","3.1819999999999999",3
"wolf","4.5","2.5760000000000001",4
"worm","3.89","2.4350000000000001",3
"wrench","7.84","2.1070000000000002",4
"xylophone","7.11","0.90300000000000002",7
"zebra","4.79","1.7709999999999999",5
"zipper","5","2.0750000000000002",4
"zucchini","6.79","1.3420000000000001",6
"accordion","8.61","1.6719999999999999",8
"chest","5.05","3.0710000000000002",4
"flower","3.11","2.7989999999999999",4
"giraffe","5","1.7629999999999999",5
"lemon","4.74","2.5379999999999998",5
"mailbox","6.11","2.2010000000000001",7
"onion","6.05","2.1850000000000001",5
"skateboard","6.94","1.7849999999999999",8
"stool","6.21","2.1960000000000002",4
"tomato","4.61","2.31",6
"toothbrush","4.33","2.286",7
"umbrella","5.68","2.3220000000000001",7
"windmill","5.32","1.6020000000000001",7
"airhockeytable",NA,NA,10
"badmintonracket",NA,NA,14
"bagel","8.9","1.9731278535997",5
"bandaid","4.6018530000000011",NA,6
"baseballbat",NA,NA,9
"bedsidetable",NA,NA,10
"beerbottle",NA,NA,7
"birdfeeder",NA,NA,7
"birdhouse","5.43","1.07918124604762",6
"birdsnest",NA,NA,8
"bottlecap",NA,NA,7
"bowlingball",NA,NA,8
"bowlingpin",NA,NA,8
"bowtie","7.94","0.845098040014257",4
"boxingglove",NA,NA,10
"boxinggloves","7.8309240000000013",NA,11
"brassknuckles",NA,NA,9
"brownsugar",NA,NA,8
"bumpercar",NA,NA,8
"candycane",NA,NA,8
"canopener","6.9570500000000006",NA,8
"cashregister",NA,NA,10
"ceilingfan",NA,NA,8
"cellphone","14.669556","2.00432137378264",6
"chainsaw","7","1.49136169383427",5
"chefshat",NA,NA,7
"chorizo","13.46","0.698970004336019",6
"christmaslights",NA,NA,11
"christmastree","4.1436020000000005",NA,10
"coffeebeans",NA,NA,8
"coffeemachine",NA,NA,9
"cookiecutter",NA,NA,8
"cruiseship",NA,NA,7
"discoball",NA,NA,8
"dreamcatcher",NA,NA,8
"ducttape",NA,NA,7
"eiffeltower",NA,NA,7
"exitsign",NA,NA,8
"eyepatch",NA,NA,4
"felttippen",NA,NA,10
"fillingcabinet",NA,NA,12
"firehydrant","5.3585000000000003",NA,10
"firetruck","3.6853510000000003","0.301029995663981",7
"fishingpole","6.1790890000000003",NA,8
"fishingrod","7.6390980000000006",NA,8
"fishtank","5.9446350000000008",NA,7
"footballhelmet",NA,NA,12
"fortunecookie",NA,NA,10
"fountainpen",NA,NA,8
"fryingpan","6.8078520000000013",NA,8
"golfball",NA,NA,7
"granolabar",NA,NA,10
"guitarcase",NA,NA,8
"hairclip",NA,NA,7
"highchair","3.79","0.778151250383644",5
"hockeypuck",NA,NA,7
"hockeystick",NA,NA,8
"hotdog","4.55","1.20411998265592",6
"hulahoop",NA,NA,7
"icecreamcone",NA,NA,9
"ipad",NA,NA,4
"ironingboard","6.5840550000000011",NA,9
"jackhammer","8.1","1.36172783601759",7
"jellybeans",NA,"1.07918124604762",8
"jumprope","5.7954370000000006",NA,7
"kiwifruit",NA,NA,8
"kneepad","8.06","0.301029995663981",5
"laptop","12.44","2.12710479836481",6
"lawnmower","6.11","1.38021124171161",6
"leafblower",NA,NA,7
"licenseplate",NA,NA,9
"lightswitch","5.9446350000000008",NA,7
"magnifyingglass",NA,NA,13
"maracas",NA,"0.903089986991944",7
"measuringcup",NA,NA,9
"measuringtape",NA,NA,9
"cremebrulee",NA,NA,9
"cremecaramel",NA,NA,10
"mrpotatohead",NA,NA,14
"musicsheet",NA,NA,9
"nailclipper",NA,NA,8
"nailpolish",NA,NA,8
"noparkingsign",NA,NA,11
"nosmokingsign",NA,NA,11
"nunchuks",NA,NA,7
"paintroller",NA,NA,8
"palmtree","7.4366150000000006",NA,7
"paperclip","6.42","0.477121254719662",8
"parkingmeter",NA,NA,10
"partyhat",NA,NA,8
"pencilcase",NA,NA,8
"pencilsharpener","5.3052150000000005",NA,12
"pictureframe",NA,NA,9
"pingpongtable",NA,NA,10
"pirateflag",NA,NA,9
"pokerchips",NA,NA,8
"polarbear",NA,NA,7
"pooltable","7.6497550000000016",NA,7
"popsicle","3.78","1.77085201164214",8
"punchingbag","7.9161800000000015",NA,9
"puzzlepiece",NA,NA,7
"qtip",NA,NA,6
"railroadtracks","7.052963000000001",NA,11
"raspberry",NA,"1.85733249643127",7
"razorshell",NA,NA,7
"recyclingbin",NA,NA,11
"rockingchair","5.7847800000000014",NA,8
"rollerblade","10.8",NA,8
"rollerskate","6.3176300000000012",NA,8
"rollingpin","7.5964700000000009",NA,8
"rubikscube",NA,NA,10
"safetypin","6.5307700000000004",NA,8
"salsa","9.7799999999999994","1.84509804001426",5
"schoolbus",NA,NA,7
"sewingmachine","5.7101810000000004",NA,9
"shipinabottle",NA,NA,10
"skiboot",NA,NA,6
"snowboard","11.14","1.30102999566398",7
"soccerball",NA,NA,7
"spicerack",NA,NA,7
"spiderweb","4.9002490000000014","0.698970004336019",8
"spinningtop",NA,NA,9
"stapleremover",NA,NA,11
"steeringwheel","5.411785000000001",NA,10
"stoplight","5.89","1.14612803567824",7
"tablefootball",NA,NA,10
"taperecorder","8.5023149999999994",NA,10
"teddybear",NA,NA,7
"teepee","5.89","0.845098040014257",4
"tennisball",NA,NA,8
"tennisracket","7.2661030000000011",NA,10
"toiletpaper","5.0920750000000004",NA,9
"toolbox","6.67","1.65321251377534",7
"totempole","8.6728269999999998",NA,8
"toyhorse",NA,NA,6
"toysoldier",NA,NA,7
"tshirt",NA,NA,5
"tv","3.4722110000000002","3.35487642251623",4
"unicycle","7.26","0.954242509439325",9
"walkietalkie",NA,NA,8
"washingmachine","4.8043360000000011",NA,10
"waterbottle",NA,NA,8
"waterfountain",NA,NA,9
"wateringcan","7.2234750000000005",NA,9
"windshieldwiper",NA,NA,12
"witchhat",NA,NA,6
"yoyo","5.6249250000000011","0.778151250383644",4
